"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000049643","853430006926","","","","Rebel Green Liquid Dish Soap Frankincense & Pine","4","$15.52","$3.88","$5.99","35.23%"
"210000049679","894148002633","","","","New Wave Safe Sporter Purple 12oz Bottle","1","$7.43","$7.43","$11.29","34.19%"
"210000049730","716554006060","","","","Naturezway Compostable Lawn and Leaf Bags 5 ct.","1","$4.43","$4.43","$5.99","26.04%"
"210000049734","732913137206","","","","Seventh Generation Unbleached Paper Towels Recycled Single","2","$6.06","$3.03","$4.69","35.39%"
"210000049912","9351383002831","","","","Boody T-Shirt Crew Neck Women's Black Small","1","$17.55","$17.55","$29.99","41.48%"
"210000049914","9351383002848","","","","Boody T-Shirt Crew Neck Women's Black Medium","3","$52.65","$17.55","$29.99","41.48%"
"210000049935","032110190357","","","","Shoyeido Incense (Gift Set) Peace","1","$4.00","$4.00","$6.99","42.78%"
"210000049946","","","","","Sunbeam Candles Beeswax Votive Rose Geranium (Pink)","13","$29.25","$2.25","$3.99","43.61%"
"210000049982","619011955935","","736902284629","","Terra Winter Reversible Scarf","1","$13.85","$13.85","$22.99","39.76%"
"210000050219","897580001530","","","","Sunbeam Candle Grande Rose (Red)","3","$52.20","$17.40","$29.00","40%"
"210000050223","897580001035","","","","Sunbeam Candles Beeswax Love Pillar Red 2x3","1","$6.30","$6.30","$11.00","42.73%"
"210000050336","736902284216","","","","Terra Bracelet","2","$14.24","$7.12","$12.95","45.02%"
"210000050344","602573381021","","","","Ti-Uno Go Bites Spork","1","$10.73","$10.73","$16.69","35.71%"
"210000050600","760702481322","","","","footie peace navy 9-11 maggie's","5","$19.30","$3.86","$7.99","51.69%"
"210000050602","760702481339","","","","footie peace navy 10-13  maggie's","6","$23.16","$3.86","$7.99","51.69%"
"210000050606","812647015213","","","","Snack Time reusable sandwich bags lemons  (3)","2","$16.00","$8.00","$13.99","42.82%"
"210000050657","760702482305","","","","footie navy turtles  9-11 maggie's","4","$15.44","$3.86","$7.99","51.69%"
"210000050659","760702482312","","","","footie navy turtles  10-13  maggie's","4","$15.44","$3.86","$7.99","51.69%"
"210000050665","760702482268","","","","footie purple dragonfly 9-11 maggie's","2","$8.50","$4.25","$7.99","46.81%"
"210000050667","760702482275","","","","footie purple dragonfly 10-13  maggie's","5","$19.30","$3.86","$7.99","51.69%"
"210000050669","760702482251","","","","footie navy dragonfly 10-13  maggie's","1","$3.30","$3.30","$7.99","58.7%"
"210000050671","760702482244","","","","footie navy dragonfly 9-11  maggie's","1","$4.25","$4.25","$7.99","46.81%"
"210000050689","760702482381","","","","footie honey mushroom 9-11 maggie's","4","$17.00","$4.25","$7.99","46.81%"
"210000050691","760702482398","","","","footie honey mushroom 10-13  maggie's","5","$19.30","$3.86","$7.99","51.69%"
