"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000053278","838913000127","","","","Deebee's Fruit  Pop Freezies Box of  10","1","$4.27","$4.27","$6.59","35.2%"
"210000053370","882382567087","","","","Olive Valley Falafel Patties","6","$30.00","$5.00","$7.69","34.98%"
"210000053372","882382568008","","","","Olive Valley Falafel Sticks","5","$27.45","$5.49","$7.69","28.61%"
"210000055245","042563018207","","","","Woodstock Farms Wild Blueberries 28oz","4","$65.96","$16.49","$18.99","13.16%"
"210000055525","810057290299","","","","Beyond Meat Breaded Chicken Tenders","4","$15.28","$3.82","$6.59","42.03%"
"210000056681","854934007983","","","","Caulipower Cauliflower Pizza White","5","$0.05","$0.01","$9.19","99.89%"
"210000057017","852838005371","","","","Chloe's Pomegrante Fruit Pops Frozen 4pk","1","$3.74","$3.74","$5.79","35.41%"
"210000057620","017873000013","","","","Blake's Vegetable Pot Pie  Org","7","$39.90","$5.70","$8.49","32.86%"
"210000058024","815369012058","","","","Cadia Triple Berry Blend Org","13","$38.87","$2.99","$4.29","30.3%"
"210000059173","815369014533","","","","Cadia Pomegranate Kernels Org","14","$46.62","$3.33","$5.19","35.84%"
"210000059597","852838005746","","","","Chloe's Spiderman Strawberry & Lemon Fruit Pops 10 pk","2","$8.92","$4.46","$7.19","37.97%"
"210000059763","850416002255","","","","Red's Burrito Bean & Rice  w/ Cheese Org","2","$4.46","$2.23","$3.49","36.1%"
"210000059765","850416002620","","","","Red's Burrito  Cheese Quesadilla  Org","3","$5.34","$1.78","$3.49","49%"
"210000059769","859553004115","","","","Cappello's Ravioli Spinach & Cheese GF","3","$22.95","$7.65","$11.89","35.66%"
"210000060125","850416002538","","","","Red's Huevos Burrito Org","7","$15.61","$2.23","$3.49","36.1%"
"210000060625","850416002293","","","","Red's Burrito Chicken Cilantro & Lime Org","9","$16.02","$1.78","$3.49","49%"
"210000062567","071262295015","","","","Tabatchnick Split Pea Soup Org","8","$18.80","$2.35","$3.59","34.54%"
"210000063214","024284297109","","","","Sno Pac Butternut Squash Org","5","$12.45","$2.49","$3.89","35.99%"
"210000063249","850004207475","","","","Beyond Meat Sausage Links Original","6","$33.84","$5.64","$8.69","35.1%"
"210000063554","810057556197","","","","Cadia Hash Browns 16 oz.","14","$36.18","$2.58","$3.99","35.23%"
"210000063663","850046786235","","","","Tindle Chicken Nuggets","7","$51.03","$7.29","$11.29","35.43%"
"210000063768","191011000872","","","","Just Egg Folded Plant Eggs","5","$23.00","$4.60","$7.29","36.9%"
"210000063854","850020260416","","","","Actual Veggies Burger Black Bean 4 Burgers","8","$40.88","$5.11","$8.39","39.09%"
"210000064053","042563018948","","","","Woodstock Farms Acai Smoothie Packs","9","$35.37","$3.93","$8.69","54.78%"
"210000065169","767532030065","","","","Truly Indian Vegetable Samosa","9","$46.02","$5.11","$7.99","36%"
"210000065171","767532030010","","","","Truly Indian Roti Wrap  Cottage Cheese & Green Pepper","13","$28.22","$2.17","$3.49","37.8%"
"210000065173","767532030027","","","","Truly Indian Roti Wrap  Tandoori Spiced Potato","15","$32.34","$2.16","$3.49","38.22%"
"210000065350","850020260430","","","","Actual Veggies Burger Purple Roots 4 Burgers","3","$16.35","$5.45","$8.39","35.04%"
"210000065358","862871000325","","","","Caulipower Cauliflower Pizza Margherita","7","$0.07","$0.01","$9.19","99.89%"
"210000065384","850416002477","","","","Red's Burrito Chicken Chorizo","10","$17.80","$1.78","$3.49","49%"
"210000065386","850416002880","","","","Red's Meat Lover's Sausage  & Egg Burrito","5","$8.90","$1.78","$3.49","49%"
"210000065388","850416002279","","","","Red's Turkey Sausage  Burrito","1","$1.78","$1.78","$3.49","49%"
"210000065390","850011911617","","","","Red's Eggwich Turkey Sausage, Egg & Cheese","4","$18.92","$4.73","$7.29","35.12%"
"210000065531","850011911211","","","","Red's Sausage, Egg & Cheese Burrito","1","$0.01","$0.01","$3.49","99.71%"
"210000065952","850020260829","","","","Actual Veggies Burger California 4 Burgers","3","$13.29","$4.43","$7.99","44.56%"
"210000066287","042563018658","","","","Woodstock Ravioli Spinach & Cheese Org 20 oz","12","$72.36","$6.03","$12.99","53.58%"
