"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000060996","859480006411","","","","Safe Catch Pink Salmon  5 oz U","5","$21.05","$4.21","$5.79","27.29%"
"210000061025","810165011489","","","","Yum Earth Jelly Beans 4 oz","12","$44.40","$3.70","$5.69","34.97%"
"210000061083","8938509147181","","","","Belvie Black Diamond 100% Dark Chocolate","7","$52.43","$7.49","$11.49","34.81%"
"210000061085","8938509147010","","","8938509147010","Belvie 90% Dark  Chocolate Chocolat Noir","14","$102.10","$7.29","$11.49","36.53%"
"210000061121","047495800227","","","","strawberry oatmeal crumble box nature's bakery","1","$4.74","$4.74","$6.99","32.19%"
"210000061127","","","","","Frankferd Farms Busy Day Bean Soup Mix 1#","1","$2.00","$2.00","$3.29","39.21%"
"210000061147","039978022950","","","","Bob's White PopCorn 30 oz","2","$0.02","$0.01","$6.99","99.86%"
"210000061196","043182008914","","","","Native Forest Artichoke Hearts Quartered 14 oz","2","$7.66","$3.83","$5.69","32.69%"
"210000061242","850031185081","","","","dates degletnoor dried OG 2oz mavuno","5","$11.20","$2.24","$4.29","47.79%"
"210000061273","073416578906","","","","Lundberg Brown Rice & Quinoa w/Garlic & Shallots 8oz","6","$17.70","$2.95","$4.59","35.73%"
"210000061291","859258007091","","","","Little Caria Syrup Pomegranate Molasses  Org 11.6 oz","9","$53.82","$5.98","$9.49","36.99%"
"210000061313","3291854122285","","","","honey turmeric ginger moringa 16oz herb to body","6","$85.70","$14.28","$24.99","42.84%"
"210000061348","013562000531","","","","Annie's Cheddar Squares Crackers","4","$16.52","$4.13","$6.29","34.34%"
"210000061360","810113070711","","","","sesame seeds tuxedo shaker foods alive","4","$17.32","$4.33","$8.49","49%"
"210000061362","617928003091","","","","stevia 50pkt stevita","3","$11.28","$3.76","$7.49","49.8%"
"210000061413","850011828342","","","","Tony's Chocolonely Milk Chocolate Hazelnut Cookie 6 oz U","6","$23.64","$3.94","$6.59","40.21%"
"210000061415","810091780909","","","","Siete Grain Free  Cookies Mexican Vanilla Chocolate Chip","9","$31.59","$3.51","$5.39","34.88%"
