"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000061834","850051816217","","","","Crazy Rumors Vegan  Lip Balm Evil Eye  .14oz","1","$2.06","$2.06","$4.39","53.08%"
"210000061836","850051816200","","","","Crazy Rumors Vegan  Lip Balm Hamsa  .14oz","1","$2.75","$2.75","$4.59","40.09%"
"210000061838","850051816194","","","","Crazy Rumors Vegan  Lip Balm Maneki Neko  .14oz","5","$11.70","$2.34","$4.59","49.02%"
"210000061910","5018744027035","","CU2160","","BWC Beauty Without Cruelty Mascara Full Volume Black","1","$15.57","$15.57","$19.99","22.11%"
"210000062047","645951164120","","LH0228","","Life-Flo Magnesium Lotion Unscented 8oz","2","$14.70","$7.35","$14.99","50.97%"
"210000062081","830911000123","","VM0025","","Moon Valley Organic Shampoo Bar Siberian","1","$5.49","$5.49","$8.89","38.25%"
"210000062128","051381911027","","","","Aura Cacia Anise Essential Oil .5oz","1","$3.99","$3.99","$7.99","50.06%"
"210000062142","840187704182","","","","Mineral Fusion Eye Pencil Azure","1","$8.85","$8.85","$18.89","53.15%"
"210000062218","","","","","vegajelly emollient 4oz","1","$0.01","$0.01","$9.49","99.89%"
"210000062355","840187704168","","","","Mineral Fusion Eye Pencil Touch","1","$8.89","$8.89","$18.89","52.94%"
"210000062357","840187700672","","","","Mineral Fusion Nail Polish Ice Breaker","2","$9.82","$4.91","$9.59","48.8%"
"210000062361","840187700689","","","","Mineral Fusion Nail Polish A Latte Fun","1","$4.91","$4.91","$9.59","48.8%"
"210000062363","840187700757","","","","Mineral Fusion Nail Polish Fun & Games","1","$4.91","$4.91","$9.59","48.8%"
"210000062365","042563604486","","","","Field Day Shampoo Frangrance Free","5","$22.70","$4.54","$7.99","43.18%"
"210000062367","840187700788","","","","Mineral Fusion Nail Polish Pefect Storm","1","$4.91","$4.91","$9.59","48.8%"
"210000062373","840187700825","","","","Mineral Fusion Nail Little Black Dress","2","$9.82","$4.91","$9.59","48.8%"
"210000062375","042563604493","","","","Field Day Conditioner Frangrance Free","9","$40.86","$4.54","$7.99","43.18%"
"210000062477","733739076069","","","","mental focus blend oil 1oz NOW FOODS","4","$28.04","$7.01","$12.99","46.04%"
"210000062599","850051816347","","","","Crazy Rumors Vegan  Lip Balm  Happy Juju 4 Pack  .14oz","2","$13.20","$6.60","$13.99","52.82%"
"210000062687","077435335502","","","","Alvera Aloe Roll-on Deodorant 3oz","1","$2.99","$2.99","$5.29","43.48%"
"210000062735","051381913410","","","","Aura Cacia Lunar Diffuser","2","$51.74","$25.87","$43.69","40.79%"
"210000062737","051381913427","","","","Aura Cacia Orbit Diffuser","1","$17.07","$17.07","$28.79","40.71%"
"210000062820","819202018610","","","","Oh MY ! Goat Milk Lotion Fragrance Free 2OZ","3","$8.79","$2.93","$6.79","56.85%"
"210000062822","819202012687","","","","Oh MY ! Goat Milk Lotion Sugar & Fig 2oz","3","$8.79","$2.93","$6.79","56.85%"
"210000062824","819202017194","","","","Oh MY ! Goat Milk Foaming Hand Soap Cherry Blossom","4","$15.48","$3.87","$8.99","56.95%"
"210000062826","819202018153","","","","Oh MY ! Goat Milk Foaming Hand Soap Lavender","2","$7.74","$3.87","$8.99","56.95%"
"210000062828","819202014063","","","","Oh My!  Natural Boar Bristle Shave Brush","3","$17.43","$5.81","$11.89","51.14%"
"210000062830","819202012540","","","","Oh My!  Natural Shave Soap Puck Bay Rum","2","$8.56","$4.28","$9.89","56.72%"
"210000062832","","","","","Oh My!  Goat Milk Shave Soap Puck Fragrance Free","2","$8.56","$4.28","$9.89","56.72%"
"210000062834","819202011123","","","","Oh My!  Goat Milk Beard Balm Fragrance Free","2","$14.50","$7.25","$14.79","50.98%"
"210000062866","840187700542","","","","Mineral Fusion Nail Polish Flirtini","1","$4.79","$4.79","$9.59","50.05%"
"210000062870","840187700719","","","","Mineral Fusion Nail Polish Arm Candy","2","$9.58","$4.79","$9.59","50.05%"
"210000062889","830911000130","","VM0026","","Moon Valley Organic Shampoo Bar Lemongrass","1","$4.23","$4.23","$8.89","52.42%"
"210000062946","716237187703","","","","Giovanni Mens 2 n 1 Shampoo & Conditioner 16.9 oz","2","$13.02","$6.51","$12.59","48.29%"
"210000062964","5900095036470","","","","Hempress Hemp pantliners 20ct","3","$10.35","$3.45","$5.89","41.43%"
"210000062968","733739076472","","","","candy cane blend essential oil 1oz NOW FOODS","5","$30.10","$6.02","$13.99","56.97%"
"210000062975","602444080121","","","","Wyndmere Aroma Therapy Charcoal Bracelet Black 22","1","$6.94","$6.94","$12.69","45.31%"
"210000062997","052651000304","","","","TN Dickinson's  Witch Hazel Hemorrhoid Medicated Pads","1","$6.20","$6.20","$11.99","48.29%"
"210000063043","073377071201","","","","Earth Therapeutics Pumice Stone","2","$6.02","$3.01","$6.39","52.9%"
"210000063047","736473100663","","","","Bass Bamboo Comb Fine/Wide Tooth Wet/Dry","3","$21.15","$7.05","$12.29","42.64%"
"210000063055","771590611005","","","","Urban Spa Massaging Hair Brush","3","$13.74","$4.58","$7.99","42.68%"
"210000063075","008340000025","","","","Golden Healing  Salve 2oz","2","$6.70","$3.35","$5.89","43.12%"
"210000063079","819202012847","","","","Oh MY ! Goat Milk Lotion Fragrance Free 12oz","1","$5.63","$5.63","$12.49","54.92%"
"210000063081","819202010348","","","","Oh MY ! Goat Milk Lotion Frankincense & Myrrh 2oz","5","$14.65","$2.93","$6.79","56.85%"
"210000063124","","","","","Emily's Soaps Sole Repair Butter","2","$20.00","$10.00","$17.49","42.82%"
"210000063259","858514006083","","","","Humble Deodorant Sensitive Palo Santo & Frankincense","4","$22.40","$5.60","$10.39","46.1%"
"210000063385","857095006000","","","","Ecolove Family Shampoo 17.6 oz","1","$7.20","$7.20","$12.59","42.81%"
"210000063494","851618001343","","singing dog","","lip balm vanilla OG singing dog","6","$8.94","$1.49","$2.59","42.47%"
"210000063503","815632029806","","MG0386","","Mineral Fusion Nail Polish Remover (Mini)","1","$3.44","$3.44","$6.99","50.79%"
"210000063505","850026256529","","","","Mad Hippie Blemish Cream","4","$30.57","$7.64","$14.89","48.67%"
"210000063544","854049002477","","","","Accure Cream Soothing Day","1","$9.62","$9.62","$18.89","49.07%"
"210000063550","716237183965","","","","Giovanni  Shampoo Dry Powder 1.35 oz","1","$7.01","$7.01","$12.29","42.96%"
"210000063715","727101200015","","","","Wise Ways All Heal Salve 2oz","5","$41.00","$8.20","$14.39","43.02%"
"210000063873","860004194422","","","","Clean Age Deodorant Citrus 3.4 oz / 100 ml","1","$7.56","$7.56","$13.29","43.12%"
"210000064021","857854007675","","","","Seaweed Bath Co. Kids Mineral Sunscreen","3","$22.77","$7.59","$19.99","62.03%"
"210000064023","810074860062","","","","Humble Deodorant Palo Santo Paper","5","$33.10","$6.62","$10.99","39.76%"
"210000064025","810074860086","","","","Humble Deodorant Sensitive Lavender Paper","5","$33.10","$6.62","$10.99","39.76%"
"210000064027","810074861786","","","","Humble Deodorant Black Spruce Paper","6","$39.72","$6.62","$10.99","39.76%"
"210000064029","810074861861","","","","Humble Deodorant Rockrose Paper","6","$44.40","$7.40","$10.99","32.67%"
"210000064031","851669008742","","","","Honey Pot Herbal Infused Organic Pads/Wings 16 Super","4","$0.04","$0.01","$9.99","99.9%"
"210000064033","851669008728","","","","Honey Pot Herbal Infused Organic Pads/Wings 16 Super","3","$19.80","$6.60","$9.99","33.93%"
"210000064153","733739077110","","","","grapeseed oil 32oz NOW FOODS","1","$10.85","$10.85","$26.99","59.8%"
"210000064209","716237186409","","","","Giovanni Hemp Hydrating Hair Shine Spray","5","$32.95","$6.59","$11.89","44.58%"
"210000064211","716237186300","","","","Giovanni Hemp Conditioner Hydrating 13.5 oz","2","$17.68","$8.84","$15.49","42.93%"
"210000064233","856932007361","","","","Andalou Men Smooth Glide Shave Cream","2","$9.88","$4.94","$9.99","50.55%"
"210000064239","716237189356","","","","Giovanni KidsTaming Cream 6 oz","1","$4.80","$4.80","$9.49","49.42%"
"210000064322","605069063999","","","","kid's toothpaste cool mint 4oz himalaya","3","$7.53","$2.51","$5.99","58.1%"
"210000064324","605069200073","","","","toothpaste neem pomegranate 5.29oz himalaya","1","$2.93","$2.93","$7.39","60.35%"
"210000064364","051381921682","","","","Aura Cacia & Frankincense ORGANIC Roll On","3","$14.61","$4.87","$8.59","43.31%"
"210000064366","051381921675","","","","Aura Cacia Castor Oil Organic Roll On","1","$3.82","$3.82","$8.09","52.78%"
"210000064409","690940000385","","","","Griffin Remedy Shampoo Scalp Therapy  8 oz","4","$26.36","$6.59","$11.49","42.65%"
"210000064411","690940000392","","","","Griffin Remedy Scalp Therapy Conditioner 8oz","5","$32.95","$6.59","$11.49","42.65%"
"210000064427","752423296675","","","","Thyme Out For Pets 8oz","2","$21.00","$10.50","$16.29","35.54%"
"210000064493","","","","","Living City Farms Mullein It Over","2","$5.00","$2.50","$3.99","37.34%"
"210000064511","663204353022","","","","zum dryer balls aroma blend","2","$18.20","$9.10","$15.99","43.09%"
"210000064792","857035007418","","","","The Humble Co. Dental Floss Picks Mint 50 Ct","5","$13.45","$2.69","$4.49","40.09%"
"210000064794","857035007425","","","","The Humble Co. Dental Floss Picks Charcoal 50 Ct","5","$13.45","$2.69","$4.49","40.09%"
"210000064798","859975002010","","","","Andalou Lavender & Biotin Shampoo","1","$4.94","$4.94","$10.99","55.05%"
"210000064800","850021276362","","","","The Humble Co. Kids Rainbow Vegan Toothbrush","7","$12.11","$1.73","$2.89","40.14%"
"210000064802","850021276478","","","","The Humble Co. Dental Tablets Fuoride-Free","6","$32.34","$5.39","$9.39","42.6%"
"210000064804","850021276188","","","","The Humble Co. Tongue Scraper","3","$17.97","$5.99","$9.99","40.04%"
"210000064806","857035007357","","","","The Humble Co. Cotton Swabs Bamboo 100ct","7","$13.79","$1.97","$3.29","40.12%"
"210000064830","851571006393","","","","bar soap goat's milk cedarwood 5oz honey sweetie acres","1","$5.40","$5.40","$8.99","39.93%"
"210000064832","851571006256","","","","bar soap goat's milk lavender 5oz honey sweetie acres","2","$8.64","$4.32","$8.99","51.95%"
"210000064838","851571006003","","","","bar soap goat's milk unscented facial avocado honey sweetie acres","4","$21.60","$5.40","$8.99","39.93%"
"210000064840","851571007178","","","","bar soap goat's milk dragon's blood 5oz honey sweetie acres","2","$9.60","$4.80","$9.99","51.95%"
"210000064842","851571006737","","","","bar soap goat's milk frank myrrh 5oz honey sweetie acres","1","$4.80","$4.80","$9.99","51.95%"
"210000064846","851571006461","","","","lotion goat's milk lavender 8oz honey sweetie acres","4","$40.80","$10.20","$16.99","39.96%"
"210000064864","051381911126","","","","Aura Cacia Citronella Oil 15mL/ 0.5 oz","3","$6.12","$2.04","$3.59","43.18%"
"210000064870","851571006140","","","","bar soap goat's milk tahiti treat 5oz honey sweetie acres","4","$21.60","$5.40","$8.99","39.93%"
"210000064872","851571006379","","","","bar soap goat's milk unscented 5oz honey sweetie acres","4","$21.60","$5.40","$8.99","39.93%"
"210000065019","079625074192","","","","Eco Tools Foot Brush & Pumice Stone","1","$3.02","$3.02","$5.29","42.91%"
"210000065045","027275370010","","","","Auromere Bamboo Toothbrush (soft","1","$3.54","$3.54","$7.29","51.44%"
"210000065047","810170630101","","","","Ethique Purple Shampoo Bar 3.9 oz","2","$18.88","$9.44","$17.99","47.53%"
"210000065285","051381886363","","","","Aura Cacia Aroma Mist Lavender 4 oz","1","$4.52","$4.52","$8.69","47.99%"
"210000065491","792850653283","","","","Burt's Bees Even Tone Liquid Exfoliant","2","$15.02","$7.51","$13.19","43.06%"
"210000065594","073377719127","","","","Dual Surface Pedicure Smoothing Stone","2","$9.00","$4.50","$9.99","54.95%"
"210000065596","073377069444","","","","Ergo Form Back Brush 18""","1","$5.40","$5.40","$11.99","54.96%"
"210000065600","810166830683","","","","Grin Adult Toothbrush Soft","5","$25.80","$5.16","$8.99","42.6%"
